pair,A_mean,B_mean,p_value,significant
unet_smp vs mobilenet_int8,0.2801,0.2552,0.0006,1
mobilenet_int8 vs spiking_unet_T6,0.2552,0.2299,0.0429,1
spiking_unet_T2 vs spiking_unet_T6,0.2431,0.2299,0.0561,0
